Date,Open,High,Low,Close,Volume,Adj Close
2014-10-24,4137.92,4153.07,4119.27,4128.90,116217700,4128.90
2014-10-23,4086.02,4166.46,4047.32,4157.68,162948200,4157.68
2014-10-22,4090.94,4110.48,4064.08,4105.09,142186700,4105.09
2014-10-21,3968.79,4081.73,3965.46,4081.24,159668100,4081.24
2014-10-20,4023.76,4030.15,3962.06,3991.24,143988900,3991.24
2014-10-17,3934.19,4040.70,3916.80,4033.18,230358700,4033.18
2014-10-16,3968.41,3987.14,3789.11,3918.62,304167300,3918.62
2014-10-15,4090.48,4096.58,3933.16,3939.72,225462800,3939.72
2014-10-14,4053.08,4097.90,4012.82,4088.25,157157300,4088.25
2014-10-13,4033.74,4104.00,4030.57,4078.70,136272000,4078.70
2014-10-10,4114.52,4125.13,4065.50,4073.71,213912600,4073.71
2014-10-09,4222.98,4222.98,4123.18,4141.45,191315500,4141.45
2014-10-08,4198.02,4213.11,4153.68,4168.12,145706200,4168.12
2014-10-07,4277.41,4277.41,4208.66,4209.14,140455300,4209.14
2014-10-06,4317.92,4319.31,4279.49,4286.52,103757200,4286.52
2014-10-03,4280.22,4297.41,4260.63,4281.74,105832200,4281.74
2014-10-02,4361.83,4371.06,4242.67,4242.67,168748300,4242.67
2014-10-01,4400.61,4427.76,4354.14,4365.27,150171900,4365.27
2014-09-30,4375.38,4435.07,4369.26,4416.24,126214700,4416.24
2014-09-29,4389.83,4401.07,4334.01,4358.07,84697000,4358.07
2014-09-26,4361.37,4411.99,4340.63,4394.75,96004000,4394.75
2014-09-25,4413.64,4430.50,4346.71,4355.28,118481600,4355.28
2014-09-24,4364.00,4416.63,4347.05,4413.72,98862200,4413.72
2014-09-23,4430.30,4430.78,4351.30,4359.35,110550700,4359.35
2014-09-22,4446.91,4464.31,4434.58,4442.55,86943400,4442.55
2014-09-19,4491.54,4492.39,4451.91,4461.22,158927900,4461.22
2014-09-18,4440.33,4470.48,4435.66,4464.70,104375600,4464.70
2014-09-17,4432.65,4444.83,4421.94,4431.41,103391900,4431.41
2014-09-16,4426.15,4426.15,4391.08,4409.15,86246100,4409.15
2014-09-15,4425.63,4440.92,4418.73,4428.63,77011900,4428.63
2014-09-12,4449.68,4452.31,4419.44,4441.70,77012200,4441.70
2014-09-11,4463.00,4466.15,4411.07,4440.90,90346100,4440.90
2014-09-10,4442.69,4459.78,4434.93,4450.79,80385100,4450.79
2014-09-09,4465.10,4482.91,4446.04,4452.37,94413900,4452.37
2014-09-08,4484.40,4489.02,4463.79,4474.93,84582900,4474.93
2014-09-05,4492.91,4498.16,4470.20,4486.49,105969500,4486.49
2014-09-04,4409.16,4509.58,4401.25,4494.94,152520000,4494.94
2014-09-03,4394.66,4443.53,4394.07,4421.87,119605200,4421.87
2014-09-02,4389.40,4403.22,4373.32,4378.33,88312100,4378.33
2014-09-01,4383.62,4391.08,4358.26,4379.73,71668900,4379.73
2014-08-29,4380.61,4393.60,4337.13,4381.04,102400900,4381.04
2014-08-28,4385.71,4393.58,4352.93,4366.04,110098700,4366.04
2014-08-27,4384.53,4401.52,4379.80,4395.26,88620000,4395.26
